title,City,full_address,rank_in_city,total_in_rank_list,overall_rating,count_of_reviews,Excellet_count,VGood_count,Average_count,Poor_count,Terrible_count,full_link,rank_quartile
Super 8 Denver Stapleton,Denver,"7201 E 36th Ave, Denver, CO 80207-1606",115,161,2,592,39,61,110,131,225,https://www.tripadvisor.com/Hotel_Review-g33388-d82976-Reviews-Super_8_Denver_Stapleton-Denver_Colorado.html,4
Floridan Palace Hotel,Tampa,"905 N Florida Ave, Tampa, FL 33602-3805",115,164,3.5,260,61,56,59,26,47,https://www.tripadvisor.com/Hotel_Review-g34678-d3403301-Reviews-Floridan_Palace_Hotel-Tampa_Florida.html,4
The Mansion on O Street,Washington,"2020 O St NW, Washington DC, DC 20036-5912",116,141,4.5,129,85,20,6,9,9,https://www.tripadvisor.com/Hotel_Review-g28970-d120566-Reviews-The_Mansion_on_O_Street-Washington_DC_District_of_Columbia.html,3
Extended Stay America - Denver - Tech Center - North,Denver,"4885 S Quebec St, Denver, CO 80237-2717",116,161,2.5,216,41,21,18,22,114,https://www.tripadvisor.com/Hotel_Review-g33388-d119981-Reviews-Extended_Stay_America_Denver_Tech_Center_North-Denver_Colorado.html,4
Suburban Extended Stay Hotel of Tampa - Airport West,Tampa,"6902 W Hillsborough Ave, Tampa, FL 33634-4946",116,164,3,66,7,16,21,6,13,https://www.tripadvisor.com/Hotel_Review-g34678-d249738-Reviews-Suburban_Extended_Stay_Hotel_of_Tampa_Airport_West-Tampa_Florida.html,4
Holiday Inn Express Hotel & Suites Washington DC-Northeast,Washington,"1917 Bladensburg Rd NE, Washington DC, DC 20002-1811",117,141,4,306,103,93,40,21,10,https://www.tripadvisor.com/Hotel_Review-g28970-d223031-Reviews-Holiday_Inn_Express_Hotel_Suites_Washington_DC_Northeast-Washington_DC_District_of_Colum.html,3
Motel 6 Denver Central - Federal Boulevard,Denver,"3050 W 49th Ave, Denver, CO 80221-1103",117,161,2,78,2,6,13,16,29,https://www.tripadvisor.com/Hotel_Review-g33388-d83061-Reviews-Motel_6_Denver_Central_Federal_Boulevard-Denver_Colorado.html,4
Mac Dill Motel,Tampa,"6227 S Dale Mabry Hwy, Tampa, FL 33611-4807",117,164,3,1,0,0,1,0,0,https://www.tripadvisor.com/Hotel_Review-g34678-d1633685-Reviews-Mac_Dill_Motel-Tampa_Florida.html,4
The Eldon Luxury Suites,Washington,"933 L St NW, Washington DC, DC 20001-4379",118,141,4,455,134,123,64,25,25,https://www.tripadvisor.com/Hotel_Review-g28970-d1224560-Reviews-The_Eldon_Luxury_Suites-Washington_DC_District_of_Columbia.html,3
Motel 6 Denver - Airport,Denver,"12020 E 39th Ave, Denver, CO 80239-3346",118,161,2.5,112,8,10,22,19,30,https://www.tripadvisor.com/Hotel_Review-g33388-d119938-Reviews-Motel_6_Denver_Airport-Denver_Colorado.html,4
Motel 6 Tampa - Fairgrounds,Tampa,"9942 E Adamo Dr, Tampa, FL 33619-2618",118,164,3,57,6,14,10,7,16,https://www.tripadvisor.com/Hotel_Review-g34678-d3936112-Reviews-Motel_6_Tampa_Fairgrounds-Tampa_Florida.html,4
La Quinta Inn Nashville South,Nashville,"4311 Sidco Dr, Nashville, TN 37204-4509",118,160,3,722,117,159,150,140,146,https://www.tripadvisor.com/Hotel_Review-g55229-d98186-Reviews-La_Quinta_Inn_Nashville_South-Nashville_Davidson_County_Tennessee.html,4
Kellogg Conference Hotel at Gallaudet University,Washington,"800 Florida Ave NE, Washington DC, DC 20002-3600",119,141,4,338,91,95,43,20,33,https://www.tripadvisor.com/Hotel_Review-g28970-d308189-Reviews-Kellogg_Conference_Hotel_at_Gallaudet_University-Washington_DC_District_of_Columbia.html,3
Ramada Denver Midtown,Denver,"2601 Zuni St, Denver, CO 80211-4806",119,161,2,822,28,80,145,196,358,https://www.tripadvisor.com/Hotel_Review-g33388-d119928-Reviews-Ramada_Denver_Midtown-Denver_Colorado.html,4
Extended Stay America - Tampa - Airport - Memorial Hwy.,Tampa,"4811 Memorial Hwy, Tampa, FL 33634-7515",119,164,3.5,279,110,56,43,28,37,https://www.tripadvisor.com/Hotel_Review-g34678-d87675-Reviews-Extended_Stay_America_Tampa_Airport_Memorial_Hwy-Tampa_Florida.html,4
GuestHouse Inn & Suites Nashville/Music Valley,Nashville,"2420 Music Valley Dr, Nashville, TN 37214-1001",119,160,3.5,737,159,229,166,74,80,https://www.tripadvisor.com/Hotel_Review-g55229-d294839-Reviews-GuestHouse_Inn_Suites_Nashville_Music_Valley-Nashville_Davidson_County_Tennessee.html,4
Georgetown Suites Harbour,Washington,"1000 29th St NW, Washington DC, DC 20007-3820",120,141,4,61,15,29,8,0,2,https://www.tripadvisor.com/Hotel_Review-g28970-d9772828-Reviews-Georgetown_Suites_Harbour-Washington_DC_District_of_Columbia.html,4
Newhouse Hotel,Denver,"1470 N Grant St, Denver, CO 80203-1847",120,161,2.5,6,2,0,0,0,3,https://www.tripadvisor.com/Hotel_Review-g33388-d120040-Reviews-Newhouse_Hotel-Denver_Colorado.html,4
Hyde Park Hotel,Tampa,"2105 W Bristol Ave, Tampa, FL 33606-2474",120,164,3.5,83,17,26,15,12,9,https://www.tripadvisor.com/Hotel_Review-g34678-d1022764-Reviews-Hyde_Park_Hotel-Tampa_Florida.html,4
Somatel Nashville Airport,Nashville,"420 Metroplex Dr, Nashville, TN 37211-3110",120,160,3,69,6,15,20,8,17,https://www.tripadvisor.com/Hotel_Review-g55229-d2054088-Reviews-Somatel_Nashville_Airport-Nashville_Davidson_County_Tennessee.html,4
The Treme Hotel,NewOrleans,"1933 Ursulines Ave, New Orleans, LA 70116-2150",120,167,4,143,65,39,12,6,8,https://www.tripadvisor.com/Hotel_Review-g60864-d7791124-Reviews-The_Treme_Hotel-New_Orleans_Louisiana.html,3
"Fairfield Inn & Suites Washington, DC/New York Avenue",Washington,"2305 New York Ave NE, Washington DC, DC 20002-1905",121,141,4,194,60,57,42,8,15,https://www.tripadvisor.com/Hotel_Review-g28970-d939375-Reviews-Fairfield_Inn_Suites_Washington_DC_New_York_Avenue-Washington_DC_District_of_Columbia.html,4
Stonewall Motel,Denver,"12111 W. Colfax Ave., Denver, CO 80215",121,161,2,1,0,0,0,1,0,https://www.tripadvisor.com/Hotel_Review-g33388-d120017-Reviews-Stonewall_Motel-Denver_Colorado.html,4
Extended Stay America - Tampa - Airport - N. West Shore Blvd.,Tampa,"1805 N West Shore Blvd, Tampa, FL 33607-3906",121,164,3,182,39,45,29,23,41,https://www.tripadvisor.com/Hotel_Review-g34678-d87668-Reviews-Extended_Stay_America_Tampa_Airport_N_West_Shore_Blvd-Tampa_Florida.html,4
Knights Inn Nashville,Nashville,"350 Harding Pl, Nashville, TN 37211-3916",121,160,3,16,3,4,2,2,5,https://www.tripadvisor.com/Hotel_Review-g55229-d98171-Reviews-Knights_Inn_Nashville-Nashville_Davidson_County_Tennessee.html,4
Airway Motel,Denver,"8339 E Colfax Ave, Denver, CO 80220-2153",122,161,2,1,0,0,0,1,0,https://www.tripadvisor.com/Hotel_Review-g33388-d119908-Reviews-Airway_Motel-Denver_Colorado.html,4
Regency Inn and Suites,Nashville,"1516 Hampton St, Nashville, TN 37207-4308",122,160,3,35,8,8,2,6,8,https://www.tripadvisor.com/Hotel_Review-g55229-d122635-Reviews-Regency_Inn_and_Suites-Nashville_Davidson_County_Tennessee.html,4
Prytania Oaks Hotel,NewOrleans,"1612 Prytania St, New Orleans, LA 70130-4418",122,167,4,240,96,93,33,8,2,https://www.tripadvisor.com/Hotel_Review-g60864-d676367-Reviews-Prytania_Oaks_Hotel-New_Orleans_Louisiana.html,3
Primrose Motel,Denver,"5450 Federal Blvd, Denver, CO 80221-6540",123,161,3,4,2,0,0,0,2,https://www.tripadvisor.com/Hotel_Review-g33388-d119968-Reviews-Primrose_Motel-Denver_Colorado.html,4
Tampa Stadium Airport Hotel,Tampa,"4750 N Dale Mabry Hwy, Tampa, FL 33614-6509",123,164,3,434,75,109,84,66,77,https://www.tripadvisor.com/Hotel_Review-g34678-d596098-Reviews-Tampa_Stadium_Airport_Hotel-Tampa_Florida.html,4
Days Inn Nashville Saint Thomas West Hospital,Nashville,"269 White Bridge Pike, Nashville, TN 37209-3253",123,160,2.5,299,18,57,70,70,82,https://www.tripadvisor.com/Hotel_Review-g55229-d105528-Reviews-Days_Inn_Nashville_Saint_Thomas_West_Hospital-Nashville_Davidson_County_Tennessee.html,4
The Wink,Washington,"1143 New Hampshire Avenue NW, Washington DC, DC 20037",124,141,4,7,2,2,3,0,0,https://www.tripadvisor.com/Hotel_Review-g28970-d84101-Reviews-The_Wink-Washington_DC_District_of_Columbia.html,4
Denver's Best Inn and Suites,Denver,"4590 Quebec St, Denver, CO 80216-3427",124,161,2,166,14,9,25,25,85,https://www.tripadvisor.com/Hotel_Review-g33388-d85343-Reviews-Denver_s_Best_Inn_and_Suites-Denver_Colorado.html,4
Fiddler's Inn North,Nashville,"2410 Music Valley Dr, Nashville, TN 37214-1001",124,160,2.5,361,38,65,77,63,111,https://www.tripadvisor.com/Hotel_Review-g55229-d122652-Reviews-Fiddler_s_Inn_North-Nashville_Davidson_County_Tennessee.html,4
Columns Hotel,NewOrleans,"3811 Saint Charles Ave, New Orleans, LA 70115-4681",124,167,4,180,60,62,22,20,14,https://www.tripadvisor.com/Hotel_Review-g60864-d115268-Reviews-Columns_Hotel-New_Orleans_Louisiana.html,3
Triple A Motel,Denver,"5225 Vasquez Blvd, Denver, CO 80216-3032",125,161,2.5,2,0,1,0,0,1,https://www.tripadvisor.com/Hotel_Review-g33388-d1634494-Reviews-Triple_A_Motel-Denver_Colorado.html,4
Rodeway Inn Near Ybor City - Casino,Tampa,"2904 Melburne Blvd, Tampa, FL 33605-2457",125,164,2.5,56,7,7,7,9,23,https://www.tripadvisor.com/Hotel_Review-g34678-d141963-Reviews-Rodeway_Inn_Near_Ybor_City_Casino-Tampa_Florida.html,4
Motel 6 Nashville,Nashville,"1412 Brick Church Pike, Nashville, TN 37207-5040",125,160,2.5,166,12,23,33,14,75,https://www.tripadvisor.com/Hotel_Review-g55229-d98206-Reviews-Motel_6_Nashville-Nashville_Davidson_County_Tennessee.html,4
Loft 523 New Orleans,NewOrleans,"523 Gravier Street, New Orleans, LA 70130-2701",125,167,4,268,131,75,25,21,11,https://www.tripadvisor.com/Hotel_Review-g60864-d241044-Reviews-Loft_523_New_Orleans-New_Orleans_Louisiana.html,3
Jayhawk Motel,Tampa,"3415 N Nebraska Ave, Tampa, FL 33603-6035",126,164,3,4,2,0,0,0,2,https://www.tripadvisor.com/Hotel_Review-g34678-d120510-Reviews-Jayhawk_Motel-Tampa_Florida.html,4
InTown Suites Nashville West,Nashville,"255 Old Hickory Blvd, Nashville, TN 37221-1303",126,160,2.5,7,0,2,2,1,2,https://www.tripadvisor.com/Hotel_Review-g55229-d260960-Reviews-InTown_Suites_Nashville_West-Nashville_Davidson_County_Tennessee.html,4
Hotel de la Monnaie,NewOrleans,"405 Esplanade Ave., New Orleans, LA 70116",126,167,4,178,60,78,22,8,6,https://www.tripadvisor.com/Hotel_Review-g60864-d120820-Reviews-Hotel_de_la_Monnaie-New_Orleans_Louisiana.html,3
Extended Stay America - Nashville - Airport,Nashville,"2525 Elm Hill Pike, Nashville, TN 37214-3154",127,160,2.5,50,7,6,9,9,19,https://www.tripadvisor.com/Hotel_Review-g55229-d105610-Reviews-Extended_Stay_America_Nashville_Airport-Nashville_Davidson_County_Tennessee.html,4
The Crescent Palms Motel,NewOrleans,"3923 Martin Luther King Jr Blvd, New Orleans, LA 70125-2011",127,167,4,120,49,32,12,4,11,https://www.tripadvisor.com/Hotel_Review-g60864-d1188927-Reviews-The_Crescent_Palms_Motel-New_Orleans_Louisiana.html,3
Vista Inn & Suites Tampa,Tampa,"400 E Bearss Ave, Tampa, FL 33613-1605",128,164,2.5,95,5,14,13,14,33,https://www.tripadvisor.com/Hotel_Review-g34678-d224797-Reviews-Vista_Inn_Suites_Tampa-Tampa_Florida.html,4
Drake Motel,Nashville,"420 Murfreesboro Pike, Nashville, TN 37210-2896",128,160,2.5,88,9,16,8,8,46,https://www.tripadvisor.com/Hotel_Review-g55229-d98141-Reviews-Drake_Motel-Nashville_Davidson_County_Tennessee.html,4
Brent House Hotel & Conference Center,NewOrleans,"1512 Jefferson Hwy, New Orleans, LA 70121-2429",128,167,3.5,160,47,50,23,17,19,https://www.tripadvisor.com/Hotel_Review-g60864-d93104-Reviews-Brent_House_Hotel_Conference_Center-New_Orleans_Louisiana.html,3
Holiday Inn Atlanta Midtown,Atlanta,"1810 Howell Mill Rd NW, Atlanta, GA 30318-2511",128,174,4,4,1,0,2,0,0,https://www.tripadvisor.com/Hotel_Review-g60898-d1195514-Reviews-Holiday_Inn_Atlanta_Midtown-Atlanta_Georgia.html,3
Days Inn & Suites Tampa Near Ybor City,Tampa,"2905 N 50th St, Tampa, FL 33619-2317",129,164,2,154,11,15,23,35,63,https://www.tripadvisor.com/Hotel_Review-g34678-d1657337-Reviews-Days_Inn_Suites_Tampa_Near_Ybor_City-Tampa_Florida.html,4
Super 8 Nashville/ Dntn/ Opryland Area,Nashville,"3320 Dickerson Pike, Nashville, TN 37207-2955",129,160,2,312,22,38,53,72,122,https://www.tripadvisor.com/Hotel_Review-g55229-d105563-Reviews-Super_8_Nashville_Dntn_Opryland_Area-Nashville_Davidson_County_Tennessee.html,4
Holiday Inn Express New Orleans East,NewOrleans,"7049 Bullard Ave, New Orleans, LA 70128-2307",129,167,3.5,174,52,56,27,9,17,https://www.tripadvisor.com/Hotel_Review-g60864-d508100-Reviews-Holiday_Inn_Express_New_Orleans_East-New_Orleans_Louisiana.html,3
Motel 6 Atlanta Downtown,Atlanta,"311 Courtland St NE, Atlanta, GA 30303-1212",129,174,3.5,279,45,83,50,17,27,https://www.tripadvisor.com/Hotel_Review-g60898-d1657567-Reviews-Motel_6_Atlanta_Downtown-Atlanta_Georgia.html,3
Howard Johnson Hotel - Tampa Airport/Stadium,Tampa,"2055 N Dale Mabry Hwy, Tampa, FL 33607-2542",130,164,2.5,621,45,66,119,161,212,https://www.tripadvisor.com/Hotel_Review-g34678-d85877-Reviews-Howard_Johnson_Hotel_Tampa_Airport_Stadium-Tampa_Florida.html,4
InTown Suites Nashville South,Nashville,"1621 Bell Rd, Nashville, TN 37211-6604",130,160,3,7,3,1,0,0,3,https://www.tripadvisor.com/Hotel_Review-g55229-d260962-Reviews-InTown_Suites_Nashville_South-Nashville_Davidson_County_Tennessee.html,4
Comfort Suites Atlanta Airport,Atlanta,"5087 Clark Howell Hwy, Atlanta, GA 30349-6049",130,174,3.5,284,81,90,43,27,38,https://www.tripadvisor.com/Hotel_Review-g60898-d1456795-Reviews-Comfort_Suites_Atlanta_Airport-Atlanta_Georgia.html,3
Econo Lodge Percy Priest Drive,Nashville,"3414 Percy Priest Dr, Nashville, TN 37214-3908",131,160,2.5,83,9,11,15,17,29,https://www.tripadvisor.com/Hotel_Review-g55229-d105477-Reviews-Econo_Lodge_Percy_Priest_Drive-Nashville_Davidson_County_Tennessee.html,4
Plaza Suite Hotel Resort,NewOrleans,"620 S Peters St, New Orleans, LA 70130-1631",131,167,3.5,117,30,34,19,15,15,https://www.tripadvisor.com/Hotel_Review-g60864-d667664-Reviews-Plaza_Suite_Hotel_Resort-New_Orleans_Louisiana.html,3
Super 8 Tampa U.S.F. Near Busch Gardens Downtown,Tampa,"321 E Fletcher Ave, Tampa, FL 33612",132,164,2,209,9,24,38,53,77,https://www.tripadvisor.com/Hotel_Review-g34678-d235711-Reviews-Super_8_Tampa_U_S_F_Near_Busch_Gardens_Downtown-Tampa_Florida.html,4
Days Inn Nashville at Opryland/Music Valley DR,Nashville,"2460 Music Valley Dr, Nashville, TN 37214-1004",132,160,2.5,973,72,147,265,212,272,https://www.tripadvisor.com/Hotel_Review-g55229-d98148-Reviews-Days_Inn_Nashville_at_Opryland_Music_Valley_DR-Nashville_Davidson_County_Tennessee.html,4
Hampton Inn Atlanta Midtown,Atlanta,"1152 Spring St NW, Atlanta, GA 30309-2806",132,174,3,17,3,6,2,4,2,https://www.tripadvisor.com/Hotel_Review-g60898-d89432-Reviews-Hampton_Inn_Atlanta_Midtown-Atlanta_Georgia.html,3
Antigua Motel,Tampa,"1106 E Hillsborough Ave, Tampa, FL 33604-7206",133,164,3,2,0,1,0,1,0,https://www.tripadvisor.com/Hotel_Review-g34678-d120468-Reviews-Antigua_Motel-Tampa_Florida.html,4
Courtyard Marriort/Iberville,NewOrleans,"910 Iberville Street, New Orleans, LA 70112",133,167,5,1,1,0,0,0,0,https://www.tripadvisor.com/Hotel_Review-g60864-d13531997-Reviews-Courtyard_Marriort_Iberville-New_Orleans_Louisiana.html,3
Comfort Inn Atlanta Downtown South,Atlanta,"795 Pollard Blvd SW, Atlanta, GA 30315",133,174,3,313,58,77,69,38,46,https://www.tripadvisor.com/Hotel_Review-g60898-d222999-Reviews-Comfort_Inn_Atlanta_Downtown_South-Atlanta_Georgia.html,4
Magnuson Hotel Downtown North Nashville,Nashville,"2401 Brick Church Pike, Nashville, TN 37207-4405",134,160,2,41,2,4,7,0,28,https://www.tripadvisor.com/Hotel_Review-g55229-d4027848-Reviews-Magnuson_Hotel_Downtown_North_Nashville-Nashville_Davidson_County_Tennessee.html,4
Marigny Guest House,NewOrleans,"615 Kerlerec St # 617, New Orleans, LA 70116-2003",134,167,5,1,1,0,0,0,0,https://www.tripadvisor.com/Hotel_Review-g60864-d120858-Reviews-Marigny_Guest_House-New_Orleans_Louisiana.html,3
Cheshire Motor Inn,Atlanta,"1865 Cheshire Bridge Rd NE, Atlanta, GA 30324",134,174,3.5,53,18,9,10,6,10,https://www.tripadvisor.com/Hotel_Review-g60898-d111334-Reviews-Cheshire_Motor_Inn-Atlanta_Georgia.html,4
Extended Stay America - Nashville - Airport - Music City,Nashville,"727 McGavock Pike, Nashville, TN 37214-3140",135,160,2,58,7,5,8,13,25,https://www.tripadvisor.com/Hotel_Review-g55229-d217701-Reviews-Extended_Stay_America_Nashville_Airport_Music_City-Nashville_Davidson_County_Tennessee.html,4
Lucky Inn Hotel,NewOrleans,"2625 Iberville St, New Orleans, LA 70119-5629",135,167,5,1,1,0,0,0,0,https://www.tripadvisor.com/Hotel_Review-g60864-d1635208-Reviews-Lucky_Inn_Hotel-New_Orleans_Louisiana.html,3
Barclay Hotel Atlanta Downtown,Atlanta,"89 Luckie St NW, Atlanta, GA 30303-2107",135,174,3.5,447,103,131,83,44,49,https://www.tripadvisor.com/Hotel_Review-g60898-d89481-Reviews-Barclay_Hotel_Atlanta_Downtown-Atlanta_Georgia.html,4
Days Inn Downtown-Nashville West Trinity Lane,Nashville,"1400 Brick Church Pike, Nashville, TN 37207-5040",136,160,2,394,17,18,66,89,197,https://www.tripadvisor.com/Hotel_Review-g55229-d216884-Reviews-Days_Inn_Downtown_Nashville_West_Trinity_Lane-Nashville_Davidson_County_Tennessee.html,4
Days Inn New Orleans Pontchartrain,NewOrleans,"4180 Old Gentilly Rd, New Orleans, LA 70126-4931",136,167,3.5,138,29,39,31,15,22,https://www.tripadvisor.com/Hotel_Review-g60864-d10598003-Reviews-Days_Inn_New_Orleans_Pontchartrain-New_Orleans_Louisiana.html,3
Microtel Inn & Suites by Wyndham Atlanta/Perimeter Center,Atlanta,"6280 Peachtree Dunwoody Rd, Atlanta, GA 30328-4525",136,174,3.5,590,124,164,148,81,64,https://www.tripadvisor.com/Hotel_Review-g60898-d222997-Reviews-Microtel_Inn_Suites_by_Wyndham_Atlanta_Perimeter_Center-Atlanta_Georgia.html,4
Americas Best Value Inn - Downtown / Midtown,Atlanta,"1641 Peachtree St NE, Atlanta, GA 30309-2433",137,174,3,83,20,19,9,5,27,https://www.tripadvisor.com/Hotel_Review-g60898-d86296-Reviews-Americas_Best_Value_Inn_Downtown_Midtown-Atlanta_Georgia.html,4
Super 8 Nashville Downtown,Nashville,"2306 Brick Church Pike, Nashville, TN 37207-4402",138,160,2,601,14,53,134,145,247,https://www.tripadvisor.com/Hotel_Review-g55229-d559728-Reviews-Super_8_Nashville_Downtown-Nashville_Davidson_County_Tennessee.html,4
Studio 6 New Orleans,NewOrleans,"12330 I 10 Service Rd, New Orleans, LA 70128-3503",138,167,3,48,14,8,7,9,10,https://www.tripadvisor.com/Hotel_Review-g60864-d223131-Reviews-Studio_6_New_Orleans-New_Orleans_Louisiana.html,3
"Country Inn & Suites by Radisson, Atlanta Downtown South at Turner Field, GA",Atlanta,"759 Pollard Blvd SW, Atlanta, GA 30315-1106",138,174,3,796,178,171,152,135,142,https://www.tripadvisor.com/Hotel_Review-g60898-d482439-Reviews-Country_Inn_Suites_by_Radisson_Atlanta_Downtown_South_at_Turner_Field_GA-Atlanta_Georgia.html,4
The Tremont Chicago Hotel at Magnificent Mile,Chicago,"100 E Chestnut St, Chicago, IL 60611-2061",139,191,3.5,330,78,102,67,27,23,https://www.tripadvisor.com/Hotel_Review-g35805-d87656-Reviews-The_Tremont_Chicago_Hotel_at_Magnificent_Mile-Chicago_Illinois.html,4
Nashville - Days Inn Airport / Opryland Area,Nashville,"1 International Plz, Nashville, TN 37217-2001",139,160,2.5,13,1,3,0,4,5,https://www.tripadvisor.com/Hotel_Review-g55229-d223672-Reviews-Nashville_Days_Inn_Airport_Opryland_Area-Nashville_Davidson_County_Tennessee.html,4
Chateau Orleans,NewOrleans,"240 Burgundy St, New Orleans, LA 70112-3114",139,167,3.5,115,28,43,7,13,21,https://www.tripadvisor.com/Hotel_Review-g60864-d645291-Reviews-Chateau_Orleans-New_Orleans_Louisiana.html,4
Holiday Inn Atlanta - Northlake,Atlanta,"2158 Ranchwood Drive, Atlanta, GA 30345-2804",139,174,3.5,156,46,45,19,19,22,https://www.tripadvisor.com/Hotel_Review-g60898-d223222-Reviews-Holiday_Inn_Atlanta_Northlake-Atlanta_Georgia.html,4
Holiday Inn Chicago O'Hare,Chicago,"5615 N Cumberland Avenue, Chicago, IL 60631-2915",140,191,3.5,681,141,200,160,58,56,https://www.tripadvisor.com/Hotel_Review-g35805-d142296-Reviews-Holiday_Inn_Chicago_O_Hare-Chicago_Illinois.html,4
Le Petit Motel,NewOrleans,"2836 Tulane Ave, New Orleans, LA 70119-7342",140,167,2,3,0,1,0,0,2,https://www.tripadvisor.com/Hotel_Review-g60864-d3940396-Reviews-Le_Petit_Motel-New_Orleans_Louisiana.html,4
InTown Suites Atlanta North,Atlanta,"355 Hammond Dr, Atlanta, GA 30328-5049",140,174,3,11,4,2,0,0,5,https://www.tripadvisor.com/Hotel_Review-g60898-d223012-Reviews-InTown_Suites_Atlanta_North-Atlanta_Georgia.html,4
Quality Inn Midway Airport,Chicago,"7353 S Cicero Ave, Chicago, IL 60629-5816",141,191,3,186,30,57,43,29,24,https://www.tripadvisor.com/Hotel_Review-g35805-d87610-Reviews-Quality_Inn_Midway_Airport-Chicago_Illinois.html,4
Quality Inn Northeast,Atlanta,"2960 Northeast Expressway, Atlanta, GA 30341",141,174,3,87,7,23,15,12,20,https://www.tripadvisor.com/Hotel_Review-g60898-d86237-Reviews-Quality_Inn_Northeast-Atlanta_Georgia.html,4
The Standard Club,Chicago,"320 South Plymouth Court, Chicago, IL 60604",142,191,4,64,23,24,10,2,3,https://www.tripadvisor.com/Hotel_Review-g35805-d484081-Reviews-The_Standard_Club-Chicago_Illinois.html,4
Historic Streetcar Inn,NewOrleans,"1509 Saint Charles Ave, New Orleans, LA 70130-4445",142,167,3.5,675,212,162,91,79,104,https://www.tripadvisor.com/Hotel_Review-g60864-d120848-Reviews-Historic_Streetcar_Inn-New_Orleans_Louisiana.html,4
Extended Stay America - Atlanta - Vinings,Atlanta,"2474 Cumberland Pkwy SE, Atlanta, GA 30339-4502",142,174,3.5,92,33,22,12,8,16,https://www.tripadvisor.com/Hotel_Review-g60898-d637485-Reviews-Extended_Stay_America_Atlanta_Vinings-Atlanta_Georgia.html,4
Sweet's Inn Motel,NewOrleans,"3610 Tulane Ave, New Orleans, LA 70119-7048",143,167,2.5,18,2,3,4,0,9,https://www.tripadvisor.com/Hotel_Review-g60864-d1640874-Reviews-Sweet_s_Inn_Motel-New_Orleans_Louisiana.html,4
Extended Stay America - Atlanta - Perimeter - Hammond Drive,Atlanta,"1050 Hammond Dr, Atlanta, GA 30328-5329",143,174,3,81,12,18,15,10,23,https://www.tripadvisor.com/Hotel_Review-g60898-d217471-Reviews-Extended_Stay_America_Atlanta_Perimeter_Hammond_Drive-Atlanta_Georgia.html,4
Nine-O-Five Royal Hotel,NewOrleans,"905 Royal St, New Orleans, LA 70116-2701",144,167,3.5,53,12,18,8,6,9,https://www.tripadvisor.com/Hotel_Review-g60864-d120856-Reviews-Nine_O_Five_Royal_Hotel-New_Orleans_Louisiana.html,4
Heart O' Chicago Motel,Chicago,"5990 N Ridge Ave, Chicago, IL 60660-3263",145,191,3.5,159,30,63,30,10,13,https://www.tripadvisor.com/Hotel_Review-g35805-d123234-Reviews-Heart_O_Chicago_Motel-Chicago_Illinois.html,4
Wyndham Garden Hotel,NewOrleans,"10100 I 10 Service Rd, New Orleans, LA 70127-2746",145,167,3,93,26,7,18,21,21,https://www.tripadvisor.com/Hotel_Review-g60864-d116270-Reviews-Wyndham_Garden_Hotel-New_Orleans_Louisiana.html,4
Super 8 Atlanta/Jonesboro Road,Atlanta,"3701 Jonesboro Rd SE, Atlanta, GA 30354-3305",145,174,3,142,29,33,28,14,33,https://www.tripadvisor.com/Hotel_Review-g60898-d86136-Reviews-Super_8_Atlanta_Jonesboro_Road-Atlanta_Georgia.html,4
Inn at Lincoln Park,Chicago,"601 W Diversey Pkwy, Chicago, IL 60614-1510",146,191,3,236,26,62,66,36,33,https://www.tripadvisor.com/Hotel_Review-g35805-d90918-Reviews-Inn_at_Lincoln_Park-Chicago_Illinois.html,4
Extended Stay America - Atlanta - Perimeter - Peachtree Dunwoody,Atlanta,"6330 Peachtree Dunwoody Rd, Atlanta, GA 30328-4550",146,174,3,44,9,5,6,7,13,https://www.tripadvisor.com/Hotel_Review-g60898-d224839-Reviews-Extended_Stay_America_Atlanta_Perimeter_Peachtree_Dunwoody-Atlanta_Georgia.html,4
Corporate Suites Network at Presidential Towers,Chicago,"555 W Madison St, Chicago, IL 60661-2514",147,191,4,27,7,12,4,2,1,https://www.tripadvisor.com/Hotel_Review-g35805-d595763-Reviews-Corporate_Suites_Network_at_Presidential_Towers-Chicago_Illinois.html,4
The Hotel at Midtown,Chicago,"2444 N Elston Ave, Chicago, IL 60647-2002",148,191,5,2,2,0,0,0,0,https://www.tripadvisor.com/Hotel_Review-g35805-d12977182-Reviews-The_Hotel_at_Midtown-Chicago_Illinois.html,4
Red Roof Inn Atlanta -Six Flags,Atlanta,"4430 Frederick Dr SW, Atlanta, GA 30336-1802",148,174,3,104,35,12,6,7,44,https://www.tripadvisor.com/Hotel_Review-g60898-d3566160-Reviews-Red_Roof_Inn_Atlanta_Six_Flags-Atlanta_Georgia.html,4
Elms Hotel,Chicago,"18 E Elm St, Chicago, IL 60611-1835",149,191,5,1,1,0,0,0,0,https://www.tripadvisor.com/Hotel_Review-g35805-d1642682-Reviews-Elms_Hotel-Chicago_Illinois.html,4
Bestway Inn,Dallas,"13220 Maham Rd, Dallas, TX 75240-5920",149,212,2.5,2,0,1,0,0,1,https://www.tripadvisor.com/Hotel_Review-g55711-d1865638-Reviews-Bestway_Inn-Dallas_Texas.html,4
Ponce de Leon Hotel,Atlanta,"551 Ponce de Leon Ave NE, Atlanta, GA 30308-1805",149,174,3,4,0,0,0,2,0,https://www.tripadvisor.com/Hotel_Review-g60898-d120655-Reviews-Ponce_de_Leon_Hotel-Atlanta_Georgia.html,4
